PY Sentence Range,Candidate Rank,Match Tier,Match Score,IDF Cosine,Shared Distinct Words,Shared Words,Dd Paragraph Preview,PY Paragraph Preview
s771-s772,5,low,0.0727,0.0254,3,"xwēš, ēk, ēn",36.64: ēk ēn kū duš-āgāhīhā-kōxšīdārīh ī Druz rāy kadāmag-ōzīhā kōxšišn ō xwēš [T60_54v] druzīh ziyānīh [K35_145r] passāxtag ud pašēmānīh ud wad-frazāmīh az-iš dīdārīg,"caby_ch11_st9: rāspīg , parāhōm pad dast hōy abar griftan pad gāh frabardārān barišn andar čahār angušt barsom dārišn be gōwišn kē az amāh ēk dastwarmard =ēw gīrēd ān amāh dōrīn ud serīn ud čahārrīn ud panǰrīn ud šašrīn ud haftrīn ud haštrīn ud nohorīn ud dahrīn xwēš šāyēd būd kē [=mān] az a..."
s2332-s2335,1,medium,0.1102,0.1157,3,"druwand, druz, dām",36.65: ud čiyōn samgentar petyārag ī-š ō gētīy [TD4_259] dām handāxt pad margēnīdan ī zīndagān kē-š framūd pad zūr ud ēmēd kū mahist pērōzīh ast ān-iz ud ān ī ō ham Druz ōwōn xwad-ziyānīhā kū ka ān ī druwand margēnēd ān ī druwand ī-š kāmišngar ān kāmišngarīh warzišn ī wināh agārīhēd...,caby_ch46_st6: frāzgōwišnīh zardušt passoxgōwišnīh ohrmazd kē ān ī mad ēstēd nē ō mard kē pad xwāyišn āyēd kū pad kār ud kirbag āyēd dahēd druz ī ān dām kū dāmīh ī druz kunēd ā =š āsamīhēd kū =š bīm wimāyīhēd u =š zanīhēd čē ān ī druwand kē ō druwandān pahlomīh ud ān ahlaw kē ō ahlawān franā...
s2756-s2761,2,medium,0.1019,0.0837,5,"druwand, druz, mēnōy, ruwān, ānōh",36.65: ud čiyōn samgentar petyārag ī-š ō gētīy [TD4_259] dām handāxt pad margēnīdan ī zīndagān kē-š framūd pad zūr ud ēmēd kū mahist pērōzīh ast ān-iz ud ān ī ō ham Druz ōwōn xwad-ziyānīhā kū ka ān ī druwand margēnēd ān ī druwand ī-š kāmišngar ān kāmišngarīh warzišn ī wināh agārīhēd...,caby_ch53_st6: frāzgōwišnīh ī zardušt frāzgōwišnīh zardušt ēdōn čiyōn pad ān harw dō tis ī gētī ud mēnōy āškārag mard ud zan pad wehīh ēdōn ǰeh ud mar pad wattarīh druz az ān bahr kū =š nīrmad az ōy kē =š hamēšag pāsbānīh pad frāydahišnīh kū =š xwēš tan ēdōn tuwān dāštan ka pad abārōnīh hanb...
s3420,3,low,0.0913,0.0884,3,"druwand, mēnōy, wināh",36.65: ud čiyōn samgentar petyārag ī-š ō gētīy [TD4_259] dām handāxt pad margēnīdan ī zīndagān kē-š framūd pad zūr ud ēmēd kū mahist pērōzīh ast ān-iz ud ān ī ō ham Druz ōwōn xwad-ziyānīhā kū ka ān ī druwand margēnēd ān ī druwand ī-š kāmišngar ān kāmišngarīh warzišn ī wināh agārīhēd...,caby_ch68_st39: az ēd =iz ka rādīh nē rēšēnēnd abzōnīg mēnōy ohrmazd ā =š ō ahlawān čāšīd ud čēgāmizēw pahlomīh kū =š ān rāy nēkīh hamāg ō wehān dād ǰud az ēd ī tō dōšišn druwand baxšēnd kū xwāstag nē pad abāyist ī tō dārēnd kē ān ī ōy kunišn ā =š az akōman mānišn kū mehmānīh ī akōman pad tan...
s1717-s1719,4,low,0.0907,0.0906,2,"druwand, warzišn",36.65: ud čiyōn samgentar petyārag ī-š ō gētīy [TD4_259] dām handāxt pad margēnīdan ī zīndagān kē-š framūd pad zūr ud ēmēd kū mahist pērōzīh ast ān-iz ud ān ī ō ham Druz ōwōn xwad-ziyānīhā kū ka ān ī druwand margēnēd ān ī druwand ī-š kāmišngar ān kāmišngarīh warzišn ī wināh agārīhēd...,caby_ch33_st2: ēdōn zanišn hēnd druwand pad gōwišn ān ud ēdōn pad menišn ān pad harw dō dast warzišn kū pad harw dō dast ōh zanišn hēnd ud ō ōy ī weh tan čāšišn kū tan bē ō hērbedān dahēd ō awēšān pad kāmag rādīh dahišn pad ān tō dōšišn ohrmazd
s1496-s1500,5,low,0.0888,0.0861,3,"druwand, mēnōy, warzišn",36.65: ud čiyōn samgentar petyārag ī-š ō gētīy [TD4_259] dām handāxt pad margēnīdan ī zīndagān kē-š framūd pad zūr ud ēmēd kū mahist pērōzīh ast ān-iz ud ān ī ō ham Druz ōwōn xwad-ziyānīhā kū ka ān ī druwand margēnēd ān ī druwand ī-š kāmišngar ān kāmišngarīh warzišn ī wināh agārīhēd...,caby_ch30_st5: frāzgōwišnīh hāzišn ohrmazd az dōān mēnōyān ā =š dōšīd kē druwand ān ī wattar warzišn ahreman ān ī wattar warzišn kāmag būd ahlāyīh mēnōy ī abzōnīg ohrmazd ahlāyīh dōšīd ud ka =iz =š ān ī saxt sag nihuft asmān =iz pad ēd kār pērāmōn gēhān be kird kū tā ahlāyīh rawāg bawād kē =...
s570-s574,1,medium,0.1435,0.1128,4,"abāz, dāšt, frēdōn, was",36.67: čiyōn frawahr ī Jam ī šēd seǰ ud sahm abāz dāšt frawahr ī Frēdōn [T60_55r] pad bēš (ī) az-kerdārān abāz dāštan abārīg frawahrān ī widurdān pad was Druz-zadārīh andar ōšmurīhēd ∵,caby_ch9_st7: ō man ōy passox guft hōm ī ahlaw ī dūrōš āspiyān man didīgar az mardōmān andar astōmandān gēhān hunīd ham ōy ān tarsagāhīh kird ud ō ōy X mad ābādīh ka az ōy pus ul zād kē abzārwis frēdōn hād abzārwisī ōy būd kū xānag ī az abarmānd ī pidarān was būd ān =iz ī dahāg pad stahmagī...
s916,2,medium,0.1074,0.104,2,"abāz, bēš",36.67: čiyōn frawahr ī Jam ī šēd seǰ ud sahm abāz dāšt frawahr ī Frēdōn [T60_55r] pad bēš (ī) az-kerdārān abāz dāštan abārīg frawahrān ī widurdān pad was Druz-zadārīh andar ōšmurīhēd ∵,caby_ch16_st8: šīrēnīh ud čarbīh yazam az tazišn ī āb ud waxšišn ī urwar āz ī dēwāndād hamēstārīh rāy ud ān mūš ud ān parīg abāzēstišnīh rāy kū tā ān ī mad ēstēd abāz ēstēnād abāzwisinnišnīh rāy abāztarwēnišnīh rāy kū ān ī andar rāh ēstād hād abāz [dār]ād ud padīragrasišnīh ī bēš rāy kū tā a...
s562-s566,3,low,0.0978,0.0715,3,"abāz, dāšt, šēd",36.67: čiyōn frawahr ī Jam ī šēd seǰ ud sahm abāz dāšt frawahr ī Frēdōn [T60_55r] pad bēš (ī) az-kerdārān abāz dāštan abārīg frawahrān ī widurdān pad was Druz-zadārīh andar ōšmurīhēd ∵,caby_ch9_st5: pad ān ī ǰam xwadāyīh ī arwand nē sarmāg būd nē X garmāg nē zarmān būd ud nē margīh ud nē arešk ī dēwāndād hād hamē būd [hēnd] bē az wināh abāz dāšt ēstād hēnd pānzdahsālagārōysišn frāz raft hēnd pid ud pus kadārizēw hād burzōg pad stāyišn ī pusar guft kū pus ēdōn nēk būd ī pi...
s3026,4,low,0.0918,0.0832,2,"frawahr, frawahrān",36.67: čiyōn frawahr ī Jam ī šēd seǰ ud sahm abāz dāšt frawahr ī Frēdōn [T60_55r] pad bēš (ī) az-kerdārān abāz dāštan abārīg frawahrān ī widurdān pad was Druz-zadārīh andar ōšmurīhēd ∵,caby_ch59_st20: az harwistīn awēšān frawahrān fradom ēdar yazam frawahr ī ān ī ohrmazd ī mahist pad tan ud pahlom pad arz ud nēktom pad dīdan xrūždtom saxttom pad kār ud dādestān ud xradīgtom dānāgtom ud hukirbtom kū =š handām ēk ō did passazagtom ud az ahlāyīh abartom az frārōnīh kū az yazdā...
s759-s760,5,low,0.0913,0.0629,3,"abāz, dāšt, was",36.67: čiyōn frawahr ī Jam ī šēd seǰ ud sahm abāz dāšt frawahr ī Frēdōn [T60_55r] pad bēš (ī) az-kerdārān abāz dāštan abārīg frawahrān ī widurdān pad was Druz-zadārīh andar ōšmurīhēd ∵,caby_ch11_st2: asp ō ōy burdār rafēd kū ma bawē arwandān āyōxtār kū =t tāxtan ma tuwān bawād ma arwandān abar nišastan ma arwandān abar nihāxtan kū abāz dāšt ma tuwān bawād kē pad ān ī man zōr nē zayē kār ud dādestān ka was mad ēstēnd pad hamrasišnīh was mard ī kirdār
s3230-s3234,1,strong,0.1241,0.0897,5,"abar, awēšān, frazend, margīh, nē",36.69a: ud nē ayāft Druz bē ō [K35_145v] awēšān ān ī ∵ awēšān frazend ud āwādag pad margīh tā ka abzūd abar [D7_202] marg ī zīndagān az ān awēšān frazend paywand ōwōn kū abāg a-paymān marnǰēnīdārīh ī purr-marg Gannāg Mēnōy ud ānāst-kōxšīdārīh ī-š [T60_55v] pad marg ud margēnīdār,caby_ch65_st11: ēn ō man dah pad dahišn abar ī weh az ān ī meh az ān ī weh pad bēabespārišnīh ka =š dārišn bē aw =iš kird hād anabardrōzišn bawād kū =mān pad =š be ēstād āb īšt az ašmāh zayēm ud xwāstag ī purrsaredag kū =š saredag ī harw tis =ēw andar amāwand kū kē xwāstag ī was ā =š škō az =...
s532-s543,2,medium,0.1051,0.0644,5,"abar, awēšān, marg, nē, tā",36.69a: ud nē ayāft Druz bē ō [K35_145v] awēšān ān ī ∵ awēšān frazend ud āwādag pad margīh tā ka abzūd abar [D7_202] marg ī zīndagān az ān awēšān frazend paywand ōwōn kū abāg a-paymān marnǰēnīdārīh ī purr-marg Gannāg Mēnōy ud ānāst-kōxšīdārīh ī-š [T60_55v] pad marg ud margēnīdār,caby_ch9_st1: pad hāwan radīh pad hāwan gāh hōm abar raft ō zardušt pad ātaxšgāh pērāmōnyōǰdāsrēnišnīh [ka] [=š] [ātaxšgāh] [kāmist] [šustan] [gāhānsrāyišnīh] ka =š ān ašemwohū se guft kē frawarānē ō pēš u =š az ōy pursīd zardušt kū kē mard hē hād nē pad yašt ī fradom būd az pēš paydāg u =š...
s1488-s1491,3,medium,0.1017,0.075,4,"awēšān, gannāg, mēnōy, nē",36.69a: ud nē ayāft Druz bē ō [K35_145v] awēšān ān ī ∵ awēšān frazend ud āwādag pad margīh tā ka abzūd abar [D7_202] marg ī zīndagān az ān awēšān frazend paywand ōwōn kū abāg a-paymān marnǰēnīdārīh ī purr-marg Gannāg Mēnōy ud ānāst-kōxšīdārīh ī-š [T60_55v] pad marg ud margēnīdār,caby_ch30_st3: frāzgōwišnīh ohrmazd ēdōn ān harw dō mēnōy ohrmazd ud gannāg ā =šān fradom ān ī ǰomā xwad srūd kū =šān wināh ud kirbag xwad be guft menišn ud gōwišn ud kunišn ān harw dō kē weh ud kē =iz wattar ēk ān weh menīd ud guft ud kird ud ēk ān ī wattar az awēšān ōy ī hudānāg ohrmazd rā...
s1813-s1815,4,low,0.0932,0.0788,3,"abar, awēšān, nē",36.69a: ud nē ayāft Druz bē ō [K35_145v] awēšān ān ī ∵ awēšān frazend ud āwādag pad margīh tā ka abzūd abar [D7_202] marg ī zīndagān az ān awēšān frazend paywand ōwōn kū abāg a-paymān marnǰēnīdārīh ī purr-marg Gannāg Mēnōy ud ānāst-kōxšīdārīh ī-š [T60_55v] pad marg ud margēnīdār,caby_ch34_st8: frāzgōwišnīh zardušt az ān ī awēšān kunišn amāh bīm az kunišn ī ahlomōγān kē andar ān abar ast was seǰ ka ast ān ī ōzōmand ahlomōγ ōy kē nihān dahišn hāwišt pad ēd ī tō ohrmazd anastīh wurrōyēd pad dēn ī tō awēšān kē nē ahlāyīh menēnd az awēšān bē dūr ast wahman
s2194-s2198,5,low,0.091,0.0759,3,"awēšān, gannāg, nē",36.69a: ud nē ayāft Druz bē ō [K35_145v] awēšān ān ī ∵ awēšān frazend ud āwādag pad margīh tā ka abzūd abar [D7_202] marg ī zīndagān az ān awēšān frazend paywand ōwōn kū abāg a-paymān marnǰēnīdārīh ī purr-marg Gannāg Mēnōy ud ānāst-kōxšīdārīh ī-š [T60_55v] pad marg ud margēnīdār,caby_ch44_st12: frašn ī zardušt ān ī az tō pursēm ī rāst ō man gōwē ohrmazd kadār ahlaw kē hampursēd ud kadār druwand kadār ān gannā ud ān ān gannā kē man druwand pad ēd ī tō sūd petiyārēnēd pad ēd ī tō dēn az čē ka xwad awēšān pad āyišn nē gannāg menam kū čē rāy ka awēšān nē wēnam ā =šān pad...
s2869,1,medium,0.1333,0.0444,2,"weh, ēdōn",36.69b: pas-iz zāyišn az margīh ud and pēš andar uzīd zamānag ud and wēš kū az ān ī 2 tanān 1000-ān bēwarān bār ud widurd ōšmār az mar sāmānēnīd ud zīndagān mardōmān andar gētīy ēdōn weh dīdārīg čand Druz pad margīh ō abesīhēnīdan kōxšāg zōr ī dādār abzōnīgīh rōšn paydāg ∵,caby_ch57_st19: kē az astān ēdōn pad yazišn abar weh
s2874,2,medium,0.1333,0.0444,2,"weh, ēdōn",36.69b: pas-iz zāyišn az margīh ud and pēš andar uzīd zamānag ud and wēš kū az ān ī 2 tanān 1000-ān bēwarān bār ud widurd ōšmār az mar sāmānēnīd ud zīndagān mardōmān andar gētīy ēdōn weh dīdārīg čand Druz pad margīh ō abesīhēnīdan kōxšāg zōr ī dādār abzōnīgīh rōšn paydāg ∵,caby_ch57_st22: kē az astān ēdōn pad yazišn abar weh
s2881,3,medium,0.1333,0.0444,2,"weh, ēdōn",36.69b: pas-iz zāyišn az margīh ud and pēš andar uzīd zamānag ud and wēš kū az ān ī 2 tanān 1000-ān bēwarān bār ud widurd ōšmār az mar sāmānēnīd ud zīndagān mardōmān andar gētīy ēdōn weh dīdārīg čand Druz pad margīh ō abesīhēnīdan kōxšāg zōr ī dādār abzōnīgīh rōšn paydāg ∵,caby_ch57_st27: kē az astān ēdōn pad yazišn abar weh
s2885,4,medium,0.1333,0.0444,2,"weh, ēdōn",36.69b: pas-iz zāyišn az margīh ud and pēš andar uzīd zamānag ud and wēš kū az ān ī 2 tanān 1000-ān bēwarān bār ud widurd ōšmār az mar sāmānēnīd ud zīndagān mardōmān andar gētīy ēdōn weh dīdārīg čand Druz pad margīh ō abesīhēnīdan kōxšāg zōr ī dādār abzōnīgīh rōšn paydāg ∵,caby_ch57_st30: kē az astān ēdōn pad yazišn abar weh
s2889,5,medium,0.1333,0.0444,2,"weh, ēdōn",36.69b: pas-iz zāyišn az margīh ud and pēš andar uzīd zamānag ud and wēš kū az ān ī 2 tanān 1000-ān bēwarān bār ud widurd ōšmār az mar sāmānēnīd ud zīndagān mardōmān andar gētīy ēdōn weh dīdārīg čand Druz pad margīh ō abesīhēnīdan kōxšāg zōr ī dādār abzōnīgīh rōšn paydāg ∵,caby_ch57_st33: kē az astān ēdōn pad yazišn abar weh
s2756-s2761,1,medium,0.1072,0.0715,3,"bowandag, wattarīh, ēn",36.70: ēk ēn kū ān ī ōstīgāntom gōhr ī dēw xwad ast tārīkīh ī-š wattarīh ōwōn bowandag ī dēwān-iz ī tam-tōmagān xwānānd,caby_ch53_st6: frāzgōwišnīh ī zardušt frāzgōwišnīh zardušt ēdōn čiyōn pad ān harw dō tis ī gētī ud mēnōy āškārag mard ud zan pad wehīh ēdōn ǰeh ud mar pad wattarīh druz az ān bahr kū =š nīrmad az ōy kē =š hamēšag pāsbānīh pad frāydahišnīh kū =š xwēš tan ēdōn tuwān dāštan ka pad abārōnīh hanb...
s2199-s2204,3,medium,0.1642,0.0856,2,"gōwēnd, nē",36.77: grōh-ēw ham Mašīhā rāy gōwēnd kū murd ud grōh-ēw gōwēnd kū nē murd,caby_ch44_st13: tāštgōwišnīh frašn ī zardušt ān ī az tō pursēm ī rāst ō man gōwē ohrmazd kay druz bē nayēd az ān pad [bē]nayišnīh druz ī sāstārīh awēšān ēdōn kē pad aniyōxšīdārīh pahikārēnd pad akirdhērbedestānīh ud nē ahlāyīh ka =šān nē nigēzēnd abāgēnēnd kū tis ī frārōn ka =šān gōwēnd ā =iz...
s2714-s2716,1,low,0.0551,0.0259,2,"abar, gāh",36.79b: ud frārōn gāh ī yazdān pad rāstīh zōr ham-nērōg pad-iš spurr pattāyēd nērōgīhēd abēzag Weh-dēn ī mazdesnān [T60_57r] xwad ō xwad ud wišōbīhēd ud agārēnīd <hm w’š y’t'> Druz čiyōn wēnīhēd abarwēz-ōstīgānīh ī abar-wardišnīgīh ud pērōzīh ī ham-nērōgān abar wiškīd-zōrān frazām-wiš...,caby_ch51_st26: kē az astān ēdōn pad yazišn abar weh kū yazišn ān weh [ī] ohrmazd xwadāy rāy kunēnd wezest ēwāmrūdīg gōwišn wīstuddō wezest se gāh
s1488-s1491,1,medium,0.1394,0.095,3,"gannāg, mēnōy, nē",36.83: az-iz ān abdīh paydāgīhēd nē madan ī Gannāg Mēnōy ō spurrīh ī ān ī dādār [K35_147r] xwarrah ō harw čār,caby_ch30_st3: frāzgōwišnīh ohrmazd ēdōn ān harw dō mēnōy ohrmazd ud gannāg ā =šān fradom ān ī ǰomā xwad srūd kū =šān wināh ud kirbag xwad be guft menišn ud gōwišn ud kunišn ān harw dō kē weh ud kē =iz wattar ēk ān weh menīd ud guft ud kird ud ēk ān ī wattar az awēšān ōy ī hudānāg ohrmazd rā...
s1536-s1540,2,medium,0.1093,0.0851,2,"abdīh, nē",36.83: az-iz ān abdīh paydāgīhēd nē madan ī Gannāg Mēnōy ō spurrīh ī ān ī dādār [K35_147r] xwarrah ō harw čār,caby_ch31_st2: frāzgōwišnīh rawišnīh kē pad nigerišn nē wurrōyēd ā =š pad ān agumānīgīh ka pad tis ī yazdān nē =iz gumān kū ast abarnigēzišnīh weh ka =š pad handāzag ī gētī be nimāyēnd ēdōn ō ašmāh harwist āyēnd kū harw kas bē ō xwēšīh ī ašmāh āyēnd ka ēdōn radīh ī ohrmazd āgāh bawēnd kū abd...
s2194-s2198,3,medium,0.1019,0.0753,2,"gannāg, nē",36.83: az-iz ān abdīh paydāgīhēd nē madan ī Gannāg Mēnōy ō spurrīh ī ān ī dādār [K35_147r] xwarrah ō harw čār,caby_ch44_st12: frašn ī zardušt ān ī az tō pursēm ī rāst ō man gōwē ohrmazd kadār ahlaw kē hampursēd ud kadār druwand kadār ān gannā ud ān ān gannā kē man druwand pad ēd ī tō sūd petiyārēnēd pad ēd ī tō dēn az čē ka xwad awēšān pad āyišn nē gannāg menam kū čē rāy ka awēšān nē wēnam ā =šān pad...
s2877-s2879,4,low,0.0983,0.0704,2,"gannāg, nē",36.83: az-iz ān abdīh paydāgīhēd nē madan ī Gannāg Mēnōy ō spurrīh ī ān ī dādār [K35_147r] xwarrah ō harw čār,caby_ch57_st25: kē nē pas xwaš xuft pēš tā mēnōyān dām dād ēbār tā mēnōyān dām dād kē spennāgmēnōy ud kē =z gannāg sālār ī ahlāyīh gēhān kē hamāg rōz ud šab āyōzēd pad kōxšišn abāg māzenīgān dēwān ud ān nē pad tars frāz ānāmēd kū stōw nē bawēd az bīm bē ī dēwān frāz az ān bē čiyōn ān stōw nē...
s272,5,low,0.0962,0.0676,2,"dādār, mēnōy",36.83: az-iz ān abdīh paydāgīhēd nē madan ī Gannāg Mēnōy ō spurrīh ī ān ī dādār [K35_147r] xwarrah ō harw čār,caby_ch4_st7: awēšān niwēyēnam ī =m guft dādār ohrmazd ī rāyōmand ī xwarrahōmand mēnōyān mēnōytom kū hamē ka =š kāmēd andar amahraspandān mēnōy tuwān būd pad yazišn ud niyāyišn ud šnāyēnīdārīh ud frāzāfrīgānīh
s575-s578,1,strong,0.1329,0.1231,6,"abar, dahāg, druz, dēw, gēhān, ēk",36.84: ēk ēn kū ka ān ī duš-dēn Dahāg kē-š was-ōztom dēw ud Druz pad az-kerb abar frēg ast az band ī Frēdōn rahēd ud pad ǰādūgīh dēw bē ō gēhān marnǰēnīdār estēd ēk mard ī tagīg az rist pēš ul hangēzīhēd xwānīhēd Sāmān Kersāsp ī pad ēk gad ī [TD4_264] gāwsar ān druzīh škennēd pad ān...,caby_ch9_st8: kē =š zad az ī dahāg ī sezefar ī sekamāl ī šašaš ī hazārwizōstār adādag ī pad gōhrag ī wasōz dēw druz ī wattar ō gēhānān zyāngār ud druwand kē =š wasōztom druz frāz kirrēnīd gannāgmēnōy abar ō astōmandān gēhān pad margīh ī ān ahlāyīh gēhān kū =š az druz ī getī ēk ān stahmagtar...
s570-s574,2,medium,0.1095,0.1099,4,"dahāg, frēdōn, gēhān, ul",36.84: ēk ēn kū ka ān ī duš-dēn Dahāg kē-š was-ōztom dēw ud Druz pad az-kerb abar frēg ast az band ī Frēdōn rahēd ud pad ǰādūgīh dēw bē ō gēhān marnǰēnīdār estēd ēk mard ī tagīg az rist pēš ul hangēzīhēd xwānīhēd Sāmān Kersāsp ī pad ēk gad ī [TD4_264] gāwsar ān druzīh škennēd pad ān...,caby_ch9_st7: ō man ōy passox guft hōm ī ahlaw ī dūrōš āspiyān man didīgar az mardōmān andar astōmandān gēhān hunīd ham ōy ān tarsagāhīh kird ud ō ōy X mad ābādīh ka az ōy pus ul zād kē abzārwis frēdōn hād abzārwisī ōy būd kū xānag ī az abarmānd ī pidarān was būd ān =iz ī dahāg pad stahmagī...
s248,3,medium,0.105,0.0631,3,"mard, tagīg, ēn",36.84: ēk ēn kū ka ān ī duš-dēn Dahāg kē-š was-ōztom dēw ud Druz pad az-kerb abar frēg ast az band ī Frēdōn rahēd ud pad ǰādūgīh dēw bē ō gēhān marnǰēnīdār estēd ēk mard ī tagīg az rist pēš ul hangēzīhēd xwānīhēd Sāmān Kersāsp ī pad ēk gad ī [TD4_264] gāwsar ān druzīh škennēd pad ān...,PY 3.18: xwāyam ō ēn yazišn dahmān ī wehān āfrīn ud dahm =iz mard ī ahlaw ud ān =iz ī čēr ī tagīg dahmīabarpadmenišn yazad
s1158,4,medium,0.105,0.0631,3,"mard, tagīg, ēn",36.84: ēk ēn kū ka ān ī duš-dēn Dahāg kē-š was-ōztom dēw ud Druz pad az-kerb abar frēg ast az band ī Frēdōn rahēd ud pad ǰādūgīh dēw bē ō gēhān marnǰēnīdār estēd ēk mard ī tagīg az rist pēš ul hangēzīhēd xwānīhēd Sāmān Kersāsp ī pad ēk gad ī [TD4_264] gāwsar ān druzīh škennēd pad ān...,caby_ch22_st19: xwāyam ō ēn yazišn dahmān ī wehān āfrīn ud dahm =iz mard ī ahlaw ān =iz ī čēr ī tagīg dahmīabarpadmenišn yazad
s185-s187,5,low,0.0947,0.0596,3,"mard, tagīg, ēn",36.84: ēk ēn kū ka ān ī duš-dēn Dahāg kē-š was-ōztom dēw ud Druz pad az-kerb abar frēg ast az band ī Frēdōn rahēd ud pad ǰādūgīh dēw bē ō gēhān marnǰēnīdār estēd ēk mard ī tagīg az rist pēš ul hangēzīhēd xwānīhēd Sāmān Kersāsp ī pad ēk gad ī [TD4_264] gāwsar ān druzīh škennēd pad ān...,PY 2.16: pad ēn zōhrag ud barsom dahmān wehān āfrīn xwāyam ō ēn yazišn dahm =iz mard ī ahlaw xwāyam ō ēn yazišn ān ī čēr ī tagīg dahmīabarpadmenišn yazad xwāyam ō ēn yazišn
s53-s58,1,strong,0.1451,0.0653,5,"dahišn, dādār, xwarrahōmand, ēk, ēn",36.86a: ēk ēn kū gumēzag razmīh ī gumēzag ast xwarrahōmand ud dahišn ī dādār ī pāyīhēd pad abēzagīh ka nē ayāft Druz ō wināhišn,"PY 1.1: pad [niuuaēδaiiemi] X , bōy ō ātaxš dahišn xšnūman pad menišn frāz kunišn yazdān ō yazišn xwānišn niuuaēδaiiemi hād bun niwēyēnam ud hangirdēnam ō ēn yazišn [niwēyēnam] [kū] [bun] [kunam] [hangirdēnam] u =š sar be kunam dādār ohrmazd ī rāyōmand xwarrahōmand mahist pad tan ud p..."
s1150-s1151,2,medium,0.1424,0.1065,2,"xwarrahōmand, ēn",36.86a: ēk ēn kū gumēzag razmīh ī gumēzag ast xwarrahōmand ud dahišn ī dādār ī pāyīhēd pad abēzagīh ka nē ayāft Druz ō wināhišn,caby_ch22_st15: xwāyam ō ēn yazišn ohrmazd ī rāyōmand xwarrahōmand xwāyam ō ēn yazišn ahlawān frawahr
s1589-s1590,3,medium,0.1422,0.1126,3,"gumēzag, nē, ēk",36.86a: ēk ēn kū gumēzag razmīh ī gumēzag ast xwarrahōmand ud dahišn ī dādār ī pāyīhēd pad abēzagīh ka nē ayāft Druz ō wināhišn,caby_ch31_st13: kē hampursēd pad ān ī āškārag kirbag āškārag abāyēd kirdan ohrmazd ud kē hampursēd pad ān ī nihānīg wināh nihānīg wēš kunēnd kē pad ān ī kōdag kēn ān ī meh uzmāyēd bōzišn rāy kū wināh =ēw xwurdag be kunēd ud pas ēk ī stabr be kunēd kū tā ān paydāg nē bawād ān pad harw dō čašm...
s240-s241,4,medium,0.132,0.0927,2,"xwarrahōmand, ēn",36.86a: ēk ēn kū gumēzag razmīh ī gumēzag ast xwarrahōmand ud dahišn ī dādār ī pāyīhēd pad abēzagīh ka nē ayāft Druz ō wināhišn,PY 3.14: xwāyam ō ēn yazišn ohrmazd ī rāyōmand xwarrahōmand xwāyam ō ēn yazišn ahlawānī frawahr
s3571-s3573,5,medium,0.1224,0.0862,3,"dahišn, druz, ēn",36.86a: ēk ēn kū gumēzag razmīh ī gumēzag ast xwarrahōmand ud dahišn ī dādār ī pāyīhēd pad abēzagīh ka nē ayāft Druz ō wināhišn,caby_ch72_st5: kē druz az ān pad bēnayišnīh nayēd az ēn gēhān druz ī sāstārīh pad nayišn nayēnd sūdimand druz čiyōn pad nayišn nayēnd sūdimand druz čiyōn ēn zanēnd X pad pāduxšāyīh ōy ī apāduxšāy az harwisp kišwar abar kē haft barsom ō dast ī rāspīg dahišn pad hamēstārīh ud bēbarišnīh ī harw...
s2877-s2879,1,medium,0.1779,0.1261,4,"dām, dēwān, kōxšišn, nē",36.87: ēk ēn kū Gannāy Mēnōy ud dēwān dām kōxšišn nē xrad-sardīhā dānišn-čimīgīhā bē čihrīg-kārīhā ud waranīg-xwāyišnīhā,caby_ch57_st25: kē nē pas xwaš xuft pēš tā mēnōyān dām dād ēbār tā mēnōyān dām dād kē spennāgmēnōy ud kē =z gannāg sālār ī ahlāyīh gēhān kē hamāg rōz ud šab āyōzēd pad kōxšišn abāg māzenīgān dēwān ud ān nē pad tars frāz ānāmēd kū stōw nē bawēd az bīm bē ī dēwān frāz az ān bē čiyōn ān stōw nē...
s2294-s2296,2,medium,0.1306,0.0907,3,"dām, dēwān, ēn",36.87: ēk ēn kū Gannāy Mēnōy ud dēwān dām kōxšišn nē xrad-sardīhā dānišn-čimīgīhā bē čihrīg-kārīhā ud waranīg-xwāyišnīhā,caby_ch45_st11: frāzgōwišnīh ī zardušt mad =išān dēwān ud pas mardōmān tarmenišnīh kē =šān ēn tarmenīd ēn dām any az ān kē ēn bowandag menēd ēn dēn sūdimandān dastwar ped xwadāy ān ī abzōnīg dēn dōst ud brād ud pid ohrmazd
s608-s613,3,medium,0.1205,0.0495,4,"dām, mēnōy, nē, ēn",36.87: ēk ēn kū Gannāy Mēnōy ud dēwān dām kōxšišn nē xrad-sardīhā dānišn-čimīgīhā bē čihrīg-kārīhā ud waranīg-xwāyišnīhā,caby_ch9_st15: tō andar zamīg nigān kird hēnd harwisp dēw zardušt kē pēš az ān wīrārōyišn padīd hēnd abar pad ēn zamīg pad dēwkirbīh hād harw ān kē tan mēnōy tuwān būd kirdan ā =š kālbod be škast ān kē nē tuwān būd kirdan xwad be škast kālbod škastan ēd kū az ān frāz pad dēwkirbīh wināh nē t...
